question,answer,context
Danışma Kurulu üyelerinin görev süresi ne kadardır?,Danışma Kurulu üyelerinin görev süresi üç yıldır.,MADDE 12 – (2) Danışma Kurulu üyelerinin görev süresi üç yıldır.
Danışma Kurulu toplantıları ne sıklıkla yapılır ve kim başkanlık eder?,"Danışma Kurulu, yılda en az bir kez Müdürün çağrısı ile toplanır ve Müdür başkanlık eder.",MADDE 12 – (2) Danışma Kuruluna Müdür başkanlık eder ve yılda en az bir kez Müdürün çağrısı ile toplanır.
Danışma Kurulunun temel görevleri nelerdir?,"Danışma Kurulunun temel görevleri; merkezin işlevleri ile ilgili önerilerde bulunmak, merkezin çalışmaları hakkında değerlendirmeler yapmak ve ulusal/uluslararası işbirliklerini kolaylaştırmaktır.","MADDE 13 – (1) Danışma Kurulunun görevleri şunlardır: a) Üniversitenin bilimsel ve teknolojik pota nsiyelinin arttırılmasında Merkezin işlevleri ile ilgili olarak her türlü öneriyi dile getirmek ve alınacak tedbirler ile yapılacak uygulamalar hakkında Yönetim Kuruluna görüş bildirmek. b) Merkezin çalışmaları ile ilgili değerlendirmeler yaparak önerilerd e bulunmak. c) Merkezin ulusal ve uluslararası bağlantılarını kolaylaştırmak üzere diğer üniversitelere bağlı merkezler, sanayi ve ilgili kamu kurumları arasında işbirliği ve koordinasyonu sağlamak konularında görüş ve önerilerde bulunmak."
Merkezin personel ihtiyacı nasıl karşılanır?,"Merkezin akademik, teknik ve idari personel ihtiyacı, 2547 sayılı Kanunun 13 üncü maddesine göre Rektör tarafından görevlendirilecek personel tarafından karşılanır.","MADDE 16 – (1) Merkezin akademik, teknik ve idari personel ihtiyacı, 2547 sayılı Kanunun 13 üncü maddesine göre Rektör tarafından görevlendirilecek personel tarafından karşılanır."
Merkezin çalışma amacına dayalı olarak alınan ekipmanlar nerede kullanılır?,"Merkezin çalışma amacına dayalı olarak alınan her türlü alet, ekipman ve demirbaşlar Merkez hizmetlerinde kullanılır.","MADDE 17 – (1) Merkezin çalışma amacına dayalı olarak yürütülecek tüm araştırmalar ve hizmetler kapsamında alınan her türlü alet, ekipman ve demirbaş lar Merkez hizmetlerinde kullanılır."
Yönetmelikte hüküm bulunmayan hallerde hangi mevzuat hükümleri uygulanır?,Bu Yönetmelikte hüküm bulunmayan hallerde; 2547 sayılı Kanun ve ilgili diğer mevzuat hükümleri ile Üniversite Yönetim Kurulu ve Senato kararları uygulanır.,MADDE 18 – (1) Bu Yönetmelikte hüküm bulunmayan hallerde; 2547 sayılı Kanun ve ilgili diğer mevzuat hükümleri ile Üniversite Yönetim Kurulu ve Senato kararları uygulanır.
Bu yönetmelik ne zaman yürürlüğe girmiştir?,"Bu yönetmelik, yayımı tarihinde yürürlüğe girmiştir.",MADDE 19 – (1) Bu Yönetmelik yayımı tarihinde yürürlüğe girer.
Bu yönetmelik hükümlerini kim yürütür?,Bu yönetmelik hükümlerini Gebze Teknik Üniversitesi Rektörü yürütür.,MADDE 20 – (1) Bu Yönetmelik hükümlerini Gebze Teknik Üniversitesi Rektörü yürütür.
Merkezin faaliyetleri genel olarak hangi alanları kapsar?,"Merkezin faaliyetleri genel olarak araştırma, analiz, danışmanlık, eğitim ve işbirliği alanlarını kapsar.",MADDE 5 ve MADDE 6
"Merkez, bilimsel çalışmaların kalitesini artırmak için ne gibi adımlar atar?","Merkez, araştırmacılara uygun çalışma ortamı sağlayarak, teknolojik gelişmeleri takip ederek ve işbirlikleri yaparak bilimsel çalışmaların kalitesini artırmaya çalışır.",MADDE 5
"Merkez, sanayi ile işbirliği yaparak ne tür faydalar sağlamayı hedefler?","Merkez, sanayi ile işbirliği yaparak uygulanabilir sonuçların sanayiye aktarılmasını hızlandırmayı ve böylece ekonomik ve teknolojik gelişime katkıda bulunmayı hedefler.",MADDE 5
"Merkez, analiz hizmetleri sunarken nelere dikkat eder?","Merkez, analiz hizmetleri sunarken talepleri değerlendirir, analizleri gerçekleştirir ve sonuçları yorumlayarak güvenilir ve doğru sonuçlar sunmaya dikkat eder.",MADDE 6
"Merkez, eğitim faaliyetleri kapsamında neler yapar?","Merkez, eğitim seminerleri, konferanslar ve bilimsel toplantılar düzenleyerek bilgi paylaşımını ve bilimsel etkileşimi artırır.",MADDE 6
Merkez Müdürü'nün görevlendirilmesinde hangi kriterler göz önünde bulundurulur?,"Merkez Müdürü, merkezin çalışma alanı ile ilgili üniversite öğretim üyeleri arasından seçilir.",MADDE 8
Yönetim Kurulu'nun karar alma süreçlerinde hangi prensipler uygulanır?,"Yönetim Kurulu kararları, oy çokluğu ile alınır ve oyların eşitliği halinde başkanın oyu yönünde çoğunluk sağlanmış kabul edilir.",MADDE 10
Danışma Kurulu'nun merkezin gelişimine katkısı nasıl olur?,"Danışma Kurulu, merkezin işlevleri hakkında önerilerde bulunarak, çalışmaları değerlendirerek ve işbirliklerini kolaylaştırarak merkezin gelişimine katkıda bulunur.",MADDE 13
Merkezin faaliyetleri için gerekli olan ekipmanlar nasıl temin edilir?,"Merkezin faaliyetleri için gerekli olan ekipmanlar, merkezin çalışma amacına dayalı olarak yürütülecek araştırmalar ve hizmetler kapsamında alınır.",MADDE 17
Yönetmelikte belirtilmeyen konularda hangi kaynaklara başvurulur?,"Yönetmelikte belirtilmeyen konularda, 2547 sayılı Kanun, ilgili diğer mevzuat hükümleri ve Üniversite Yönetim Kurulu ile Senato kararlarına başvurulur.",MADDE 18
"Merkezin faaliyetleri, üniversitenin genel hedefleriyle nasıl ilişkilidir?","Merkezin faaliyetleri, üniversitenin bilimsel araştırma kapasitesini artırarak, teknolojik gelişmeleri destekleyerek ve sanayi ile işbirliğini güçlendirerek üniversitenin genel hedeflerine katkıda bulunur.",MADDE 5
"Merkez, ulusal ve uluslararası düzeyde hangi tür işbirlikleri yapmayı hedefler?","Merkez, diğer üniversiteler, araştırma kurumları, sanayi kuruluşları ve kamu kurumları ile işbirliği yaparak ulusal ve uluslararası düzeyde bilimsel ve teknolojik projeler yürütmeyi hedefler.",MADDE 5 ve MADDE 13
"Merkez, patent ve faydalı model başvurularında nasıl bir rol oynar?","Merkez, patent, faydalı model ve tasarım tescil süreçlerinde danışmanlık hizmeti vererek, bu tür başvuruların artmasına katkıda bulunur.",MADDE 5
"Merkez, analiz sonuçlarını nasıl değerlendirir ve yorumlar?","Merkez, analiz sonuçlarını bilimsel yöntemlerle değerlendirir ve yorumlayarak, kullanıcıların doğru ve güvenilir bilgilere ulaşmasını sağlar.",MADDE 6
"Merkez, eğitim programları düzenlerken hangi konulara odaklanır?","Merkez, eğitim programları düzenlerken, bilimsel araştırma yöntemleri, teknolojik gelişmeler ve merkezin faaliyet alanları ile ilgili konulara odaklanır.",MADDE 6
Merkez Müdürü'nün görev süresi dolduğunda ne olur?,"Merkez Müdürü'nün görev süresi dolduğunda, Rektör tarafından yeniden görevlendirilebilir.",MADDE 8
Yönetim Kurulu üyelerinin görev süresi dolduğunda ne olur?,"Yönetim Kurulu üyelerinin görev süresi dolduğunda, Rektör tarafından yeniden görevlendirilebilirler.",MADDE 10
Danışma Kurulu üyelerinin görev süresi dolduğunda ne olur?,"Danışma Kurulu üyelerinin görev süresi dolduğunda, Rektör tarafından yeniden görevlendirilebilirler.",MADDE 12
Merkezin faaliyetleri için gerekli olan finansal kaynaklar nasıl sağlanır?,"Merkezin finansal kaynakları, üniversite bütçesi, proje gelirleri, analiz hizmetlerinden elde edilen gelirler ve diğer kaynaklardan sağlanır.",MADDE 9
"Merkez, hangi tür bilimsel ve teknolojik gelişmeleri takip eder?","Merkez, kendi faaliyet alanları ile ilgili tüm bilimsel ve teknolojik gelişmeleri takip eder.",MADDE 5
"Merkez, hangi tür analiz hizmetleri sunar?","Merkez, farklı disiplinlerdeki araştırmacılara ve kuruluşlara yönelik çeşitli analiz hizmetleri sunar.",MADDE 6
"Merkez, hangi tür eğitim seminerleri düzenler?","Merkez, bilimsel araştırma yöntemleri, laboratuvar teknikleri, teknolojik gelişmeler ve merkezin faaliyet alanları ile ilgili eğitim seminerleri düzenler.",MADDE 6
"Merkez, hangi tür bilimsel toplantılar düzenler?","Merkez, konferanslar, sempozyumlar ve çalıştaylar gibi bilimsel toplantılar düzenler.",MADDE 6
"Merkez, hangi tür işbirlikleri yapar?","Merkez, diğer üniversiteler, araştırma kurumları, sanayi kuruluşları ve kamu kurumları ile işbirliği yapar.",MADDE 5 ve MADDE 13
"Merkez, hangi tür projeler yürütür?","Merkez, bilimsel araştırma projeleri, teknolojik geliştirme projeleri ve sanayi işbirliği projeleri yürütür.",MADDE 5
"Merkez, hangi tür danışmanlık hizmetleri sunar?","Merkez, bilimsel araştırma, teknoloji transferi, patent ve faydalı model başvuruları gibi konularda danışmanlık hizmetleri sunar.",MADDE 5 ve MADDE 6
Gebze Teknik Üniversitesi Uzaktan Eğitim Uygulama ve Araştırma Merkezi'nin temel amacı nedir?,"Merkezin temel amacı, üniversitedeki uzaktan eğitim faaliyetlerini daha etkili hale getirmek, bu alanda araştırma ve geliştirme çalışmaları yapmak, kurumların uzaktan eğitim ihtiyaçlarına destek olmak, e-öğrenme temelli dersler ve programlar geliştirmek, sertifika programları açmak ve yürütmek, ayrıca kamu ve özel sektörün eğitim programlarını e-öğrenmeye uyarlamaktır.","MADDE 5 – (1) Merkezin amacı; Gebze Teknik Üniversitesinde yürütülmekte olan uzaktan eğitim faaliyetlerinin daha etkin ve verimli yürütülmesini temin etmek, uzaktan eğitim ile ilgili araştırma -geliştirme ve uygulama çalışmaları yapmak, kurum ve kuruluşların uzaktan eğitim ihtiyaç ve isteklerine yardımcı olmak, lisans, lisansüstü ve yetişkin eğitiminde e -öğrenme temelli ders ve programları geliştirmek ve Üniversitede verilmekte olan dersleri e -öğrenme ile desteklemek, Üniversite bünyesinde e -öğrenme yoluyla verilecek olan sertifika programlarının açılması, yürütülmesi ve koordinasyonunu sağlamak, kamu ve özel sektör kurumlarının eğitim programlarının e -öğrenmeye uyarlanması ve uzaktan eğitim sistemlerinin geliştirilmesine katkıda bulunmak, bilgi birikimini ilgili kurum ve kuruluşlara aktarmak, yayınlar yapmaktır."
Uzaktan eğitim yoluyla verilen diploma ve sertifika programlarının standartlarını kim belirler?,"Uzaktan eğitim yoluyla verilen diploma ve sertifika programlarının standartlarını, ders içeriklerini hazırlama ve paydaşlara gerekli eğitimleri verme görevini Gebze Teknik Üniversitesi Uzaktan Eğitim Uygulama ve Araştırma Merkezi üstlenir.","MADDE 6 – (1) Merkezin görevleri şunlardır: b) Üniversite tarafından uzaktan eğitim yoluyla yürütülmekte olan diploma ve sertifika programlarının standartlarını belirlemek, ders içeriklerini hazırlamak, paydaşlara gerekli eğitimleri vermek, öğretim yönetim sistemi ve sunucu altyapılarını hazırlamak."
"Merkezin, bilgi toplumuna geçiş sürecinde ülkenin kalkınmasına nasıl bir katkısı olması beklenir?","Merkez, e-öğrenme yoluyla eğitimleri yaygınlaştırarak, bilimsel ve teknolojik araştırmalar yaparak veya önererek bilgi toplumuna geçiş sürecinde ülkenin kalkınmasına yardımcı olmayı hedefler.",MADDE 6 – (1) Merkezin görevleri şunlardır: ç) Bilgi toplumuna geçiş sürecinde ülkemizin kalkınmasına ve gelişmesine yardımcı nitelikteki eğitimlerin e - öğrenme vasıtasıyla yaygınlaştırılması için bilimsel ve teknolojik araştırmaları yapmak veya önermek.
Uzaktan eğitim faaliyetlerinde kişisel verilerin korunması ve fikri mülkiyet hakları nasıl güvence altına alınır?,"Uzaktan verilen eğitimin, 6698 sayılı Kişisel Verilerin Korunması Kanunu ve 5846 sayılı Fikir ve Sanat Eserleri Kanunu'na uygun olarak yürütülmesi sağlanır.",MADDE 6 – (1) Merkezin görevleri şunlardır: f) Uzaktan verilen eğitimin 6698 sayılı Kişisel Verilerin Korunması Kanunu ve 5846 sayılı Fikir ve Sanat Eserleri Kanunu açısından yürütülmesini sağlamak.
Gebze Teknik Üniversitesi Uzaktan Eğitim Uygulama ve Araştırma Merkezi'nin temel organları nelerdir?,Merkezin temel organları Müdür ve Yönetim Kurulu'dur.,MADDE 7 – (1) Merkezin organları şunlardır: a) Müdür. b) Yönetim Kurulu.
Merkez Müdürü nasıl atanır ve görev süresi ne kadardır?,"Merkez Müdürü, üniversitenin aylıklı ve devamlı statüdeki öğretim elemanları arasından Rektör tarafından üç yıl için görevlendirilir. Süresi biten müdür yeniden görevlendirilebilir.","MADDE 8 – (1) Müdür, Üniversitenin aylıklı ve devamlı statüdeki öğretim elemanları arasından Rektör tarafından üç yıl için görevlendirilir. Süresi sona eren Müdür yeniden görevlendirilebilir."
Müdürün görevleri arasında neler bulunur?,"Müdürün görevleri arasında Yönetim Kurulunu toplantıya çağırmak, başkanlık etmek, alınan kararları uygulamak, merkezin yıllık faaliyet raporunu hazırlamak, idari ilişkileri yürütmek ve personel ihtiyacını belirlemek bulunur.","MADDE 9 – (1) Müdürün görevleri şunlardır: a) Yönetim Kurulunu toplantıya çağırmak, başkanlık etmek ve alınan kararları uygulamak. b) Merkezin çalışma, hedef ve planlarını içeren yıllık faaliyet raporunu hazırlamak, Yönetim Kurulunun görüşü alındıktan sonra Rektörlüğe sunmak. c) Merkezin idari ilişkilerini yürütmek, personel ihtiyacını belirlemek ve Rektörlüğe sunmak. ç) Yurt içi ve yurt dışındaki araştırma ve uygulama merkezleri ile işbirliği yapmak."
Yönetim Kurulu kaç kişiden oluşur ve üyeleri nasıl belirlenir?,"Yönetim Kurulu, Müdür ve Müdür Yardımcısı dahil olmak üzere 9 kişiden oluşur. Müdür ve Müdür Yardımcısı dışındaki üyeler, öğretim elemanları arasından Rektör tarafından üç yıl süreyle görevlendirilir.",MADDE 10 – (1) Yönetim Kurulu; Müdür ve Müdür Yardımcısı dâhil 9 kişiden oluşur. Müdür ve Müdür Yardımcısı dışındaki üyeler; öğretim elemanları arasından Rektör tarafından üç yıl süre ile görevlendirilir.
Yönetim Kurulu ne sıklıkla toplanır ve kararlar nasıl alınır?,"Yönetim Kurulu, Müdürün daveti üzerine yılda en az iki kez salt çoğunlukla toplanır ve kararlar oy çokluğu ile alınır.","MADDE 10 – (1) Yönetim Kurulu, Müdürün daveti üzerine yılda en az iki kez salt çoğunlukla toplanır ve kararlar oy çokluğu ile alınır."
Yönetim Kurulunun temel görevleri nelerdir?,"Yönetim Kurulunun temel görevleri arasında merkezin yönetimi ile ilgili kararlar almak, Rektörlüğe sunulacak faaliyet raporunu görüşmek, araştırıcı ve uygulayıcı elemanların mali destek isteklerini değerlendirmek, merkeze gelen iş ve proje tekliflerini değerlendirmek ve çalışma grupları oluşturmak yer alır.","MADDE 11 – (1) Yönetim Kurulunun görevleri şunlardır: a) Merkezin yönetimi ile ilgili kararlar almak. b) Rektörlüğe sunulacak faaliyet raporunu görüşmek. c) Araştırıcı ve uygulayıcı elemanların, uzaktan eğitim ile ilgili araştırma, yayın ve bilimsel toplantılara katılmak için yapacakları mali destek isteklerini değerlendirmek. ç) Merkeze gelen iş ve proje tekliflerini değerlendirip, önerilerde bulunmak. d) Merkez için gerek duyulan çalışma grupları ve komisyonları kurmak."
Merkezin personel ihtiyacı nasıl karşılanır?,"Merkezin akademik, idari ve teknik personel ihtiyacı, 2547 sayılı Yükseköğretim Kanunu'nun 13. maddesi uyarınca Rektör tarafından görevlendirilecek personel ile karşılanır.","MADDE 12 – (1) Merkezin akademik, idari ve teknik personel ihtiyacı 2547 sayılı Yükseköğretim Kanununun 13 üncü maddesi uyarınca Rektör tarafından görevlendirilecek personel ile karşılanır."
Bu yönetmelik ne zaman yürürlüğe girmiştir?,"Bu yönetmelik, yayımı tarihinde yürürlüğe girmiştir.",MADDE 13 – (1) Bu Yönetmelik yayımı tarihinde yürürlüğe girer.
Bu yönetmeliğin yürütülmesinden kim sorumludur?,Bu yönetmelik hükümlerini Gebze Teknik Üniversitesi Rektörü yürütür.,MADDE 14 – (1) Bu Yönetmelik hükümlerini Gebze Teknik Üniversitesi Rektörü yürütür.
"Merkez, üniversite bünyesinde hangi tür eğitim programlarının uzaktan eğitimle verilmesine katkı sağlar?","Merkez, üniversite bünyesinde açılan uzaktan eğitim tezsiz yüksek lisans programlarının eğitim-öğretiminin planlanmasına yardımcı olur ve bu programların uygulanmasına yönelik eşgüdümü ve koordinasyonu sağlar. Ayrıca, lisans ve lisansüstü derslerin uzaktan eğitim yöntemiyle verilmesiyle ilgili teknik destek sağlar.",MADDE 6 – (1) Merkezin görevleri şunlardır: e) Üniversitede mevcut enstitüler bünyesinde açılan uzaktan eğitim tezsiz yüksek lisans programlarının eğitim - öğretiminin planlanmasına yardımcı olmak ve bu programların uygulanmasına yönelik eşgüdümü ve koordinasyonu sağlamak. g) Üniversitede mevcut lisans/lisans üstü derslerin uzaktan eğitim yöntemiyle verilmesi ile ilgili teknik destek sağlamak.
"Merkez, uzaktan eğitim alanında hangi tür işbirlikleri yapar?","Merkez, uzaktan eğitim ile ilgili araştırma ve uygulamalarda yerli ve yabancı kuruluşlarla işbirliği yapar.",MADDE 6 – (1) Merkezin görevleri şunlardır: d) Uzaktan eğitim ile ilgili araştırma ve uygulamalarda yerli ve yabancı kuruluşlarla işbirliği yapmak.
"Merkez, uzaktan eğitim yoluyla hangi tür programların açılmasına katkıda bulunur?","Merkez, üniversite bünyesinde e-öğrenme yoluyla verilecek olan sertifika programlarının açılması, yürütülmesi ve koordinasyonunu sağlar. Ayrıca, Senato tarafından açılmasına karar verilen uzaktan eğitim veya harmanlanmış eğitim şeklinde yürütülecek kurs, ders, sertifika programı, önlisans, lisans tamamlama, lisans ve lisansüstü eğitim öğretim programlarını uygular.","MADDE 5 – (1) Merkezin amacı; ... Üniversite bünyesinde e -öğrenme yoluyla verilecek olan sertifika programlarının açılması, yürütülmesi ve koordinasyonunu sağlamak... MADDE 11 – (1) Yönetim Kurulunun görevleri şunlardır: e) Senato tarafından açılmasına karar verilen uzaktan eğitim -öğretim veya harmanlanmış eğitim -öğretim şeklinde yürütülecek kurs, ders, sertifika programı, önlisans, lisans tamamlama, lisans ve lisansüstü eğitim öğretim programlarını uygulamak."
"Merkez, uzaktan eğitim sistemlerinin geliştirilmesine nasıl katkıda bulunur?","Merkez, kamu ve özel sektör kurumlarının eğitim programlarının e-öğrenmeye uyarlanması ve uzaktan eğitim sistemlerinin geliştirilmesine katkıda bulunur.",MADDE 5 – (1) Merkezin amacı; ... kamu ve özel sektör kurumlarının eğitim programlarının e -öğrenmeye uyarlanması ve uzaktan eğitim sistemlerinin geliştirilmesine katkıda bulunmak...
"Merkez, uzaktan eğitim alanındaki bilgi birikimini nasıl paylaşır?","Merkez, uzaktan eğitim alanındaki bilgi birikimini ilgili kurum ve kuruluşlara aktarır ve yayınlar yapar.","MADDE 5 – (1) Merkezin amacı; ... bilgi birikimini ilgili kurum ve kuruluşlara aktarmak, yayınlar yapmaktır."
"Merkez, uzaktan eğitim projelerinde hangi tür destekler sağlar?","Merkez, gerek üniversite içi gerekse üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirir, akreditasyonları yapar, bu konularda danışmanlık yapar ve gerekli koordinasyonu sağlar.","MADDE 6 – (1) Merkezin görevleri şunlardır: c) Gerek Üniversite içi, gerekse Üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirmek, akreditasyonları yapmak, bu konularda danışmanlık yapmak ve gerekli koordinasyonu sağlamak."
Müdür Yardımcısı kimler arasından seçilir ve görevi nedir?,"Müdür Yardımcısı, öğretim elemanları arasından Müdür tarafından belirlenir ve Rektörün onayı ile görevlendirilir. Müdürün çalışmalarında yardımcı olur.","MADDE 8 – (1) Müdür, çalışmalarında kendisine yardımcı olmak üzere öğretim elemanları arasından bir kişiyi Müdür Yardımcısı olarak görevlendirmek üzere Rektörün onayına sunar."
Müdürün geçici olarak görevden ayrılması durumunda yerine kim vekalet eder?,"Müdürün geçici olarak görevinden ayrılması halinde yerine Müdür Yardımcısı, o da bulunmadığı zamanlarda ise kıdemli olanından başlamak üzere Yönetim Kurulu üyelerinden biri vekalet eder.","MADDE 8 – (1) Müdürün geçici olarak görevinden ayrılması halinde yerine Müdür Yardımcısı, o da bulunmadığı zamanlarda ise kıdemli olanından başlamak üzere Yönetim Kurulu üyelerinden biri vekâlet eder."
Yönetim Kurulu üyelerinin görev süresi ne kadardır?,Yönetim Kurulu üyelerinin görev süresi üç yıldır. Görev süresi biten üyeler tekrar görevlendirilebilir.,MADDE 10 – (1) Müdür ve Müdür Yardımcısı dışındaki üyeler; öğretim elemanları arasından Rektör tarafından üç yıl süre ile görevlendirilir. Görev süresi biten üyeler tekrar görevlendirilebilir.
Yönetim Kurulu üyeliğinde boşalma olması durumunda ne yapılır?,Üyeliğin herhangi bir nedenle boşalması halinde kalan süreyi tamamlamak üzere yeni üye görevlendirilebilir.,MADDE 10 – (1) Üyeliğin herhangi bir nedenle boşalması halinde kalan süreyi tamamlamak üzere yeni üye görevlendirilebilir.
"Merkez, uzaktan eğitim faaliyetlerinde hangi yasal düzenlemelere uymak zorundadır?","Merkez, uzaktan eğitim faaliyetlerini yürütürken 6698 sayılı Kişisel Verilerin Korunması Kanunu ve 5846 sayılı Fikir ve Sanat Eserleri Kanunu'na uymak zorundadır.",MADDE 6 – (1) Merkezin görevleri şunlardır: f) Uzaktan verilen eğitimin 6698 sayılı Kişisel Verilerin Korunması Kanunu ve 5846 sayılı Fikir ve Sanat Eserleri Kanunu açısından yürütülmesini sağlamak.
"Merkez, uzaktan eğitim alanında hangi tür araştırma ve geliştirme çalışmaları yapar?","Merkez, uzaktan eğitim konularında araştırma ve geliştirme çalışmaları yapar.",MADDE 6 – (1) Merkezin görevleri şunlardır: a) Uzaktan eğitim konularında araştırma ve geliştirme çalışmaları yapmak.
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür teknik destek sağlar?","Merkez, üniversitede mevcut lisans/lisansüstü derslerin uzaktan eğitim yöntemiyle verilmesi ile ilgili teknik destek sağlar.",MADDE 6 – (1) Merkezin görevleri şunlardır: g) Üniversitede mevcut lisans/lisans üstü derslerin uzaktan eğitim yöntemiyle verilmesi ile ilgili teknik destek sağlamak.
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür altyapıları hazırlar?","Merkez, uzaktan eğitim yoluyla yürütülen programlar için öğretim yönetim sistemi ve sunucu altyapılarını hazırlar.","MADDE 6 – (1) Merkezin görevleri şunlardır: b) Üniversite tarafından uzaktan eğitim yoluyla yürütülmekte olan diploma ve sertifika programlarının standartlarını belirlemek, ders içeriklerini hazırlamak, paydaşlara gerekli eğitimleri vermek, öğretim yönetim sistemi ve sunucu altyapılarını hazırlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür danışmanlık hizmetleri sunar?","Merkez, uzaktan eğitim projelerinde yazılım, otomasyon ve ders içerikleri konusunda danışmanlık hizmetleri sunar.","MADDE 6 – (1) Merkezin görevleri şunlardır: c) Gerek Üniversite içi, gerekse Üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirmek, akreditasyonları yapmak, bu konularda danışmanlık yapmak ve gerekli koordinasyonu sağlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür koordinasyonu sağlar?","Merkez, uzaktan eğitim projelerinde gerekli koordinasyonu sağlar ve üniversitede açılan uzaktan eğitim tezsiz yüksek lisans programlarının uygulanmasına yönelik eşgüdümü ve koordinasyonu sağlar.","MADDE 6 – (1) Merkezin görevleri şunlardır: c) Gerek Üniversite içi, gerekse Üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirmek, akreditasyonları yapmak, bu konularda danışmanlık yapmak ve gerekli koordinasyonu sağlamak. e) Üniversitede mevcut enstitüler bünyesinde açılan uzaktan eğitim tezsiz yüksek lisans programlarının eğitim - öğretiminin planlanmasına yardımcı olmak ve bu programların uygulanmasına yönelik eşgüdümü ve koordinasyonu sağlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür akreditasyonları yapar?","Merkez, uzaktan eğitim projelerinde akreditasyonları yapar.","MADDE 6 – (1) Merkezin görevleri şunlardır: c) Gerek Üniversite içi, gerekse Üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirmek, akreditasyonları yapmak, bu konularda danışmanlık yapmak ve gerekli koordinasyonu sağlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür eğitimleri verir?","Merkez, uzaktan eğitim yoluyla yürütülen diploma ve sertifika programlarının paydaşlarına gerekli eğitimleri verir.","MADDE 6 – (1) Merkezin görevleri şunlardır: b) Üniversite tarafından uzaktan eğitim yoluyla yürütülmekte olan diploma ve sertifika programlarının standartlarını belirlemek, ders içeriklerini hazırlamak, paydaşlara gerekli eğitimleri vermek, öğretim yönetim sistemi ve sunucu altyapılarını hazırlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür ders içeriklerini hazırlar?","Merkez, uzaktan eğitim yoluyla yürütülen diploma ve sertifika programlarının ders içeriklerini hazırlar.","MADDE 6 – (1) Merkezin görevleri şunlardır: b) Üniversite tarafından uzaktan eğitim yoluyla yürütülmekte olan diploma ve sertifika programlarının standartlarını belirlemek, ders içeriklerini hazırlamak, paydaşlara gerekli eğitimleri vermek, öğretim yönetim sistemi ve sunucu altyapılarını hazırlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür yazılımları geliştirir?","Merkez, uzaktan eğitim projelerinde ihtiyaç duyulan yazılımları geliştirir.","MADDE 6 – (1) Merkezin görevleri şunlardır: c) Gerek Üniversite içi, gerekse Üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirmek, akreditasyonları yapmak, bu konularda danışmanlık yapmak ve gerekli koordinasyonu sağlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür otomasyonları gerçekleştirir?","Merkez, uzaktan eğitim projelerinde ihtiyaç duyulan otomasyonları gerçekleştirir.","MADDE 6 – (1) Merkezin görevleri şunlardır: c) Gerek Üniversite içi, gerekse Üniversite dışı projelerde ihtiyaç duyulan yazılım, otomasyon ve ders içeriklerini gerçekleştirmek, akreditasyonları yapmak, bu konularda danışmanlık yapmak ve gerekli koordinasyonu sağlamak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür projeleri değerlendirir?","Merkez, kendisine gelen iş ve proje tekliflerini değerlendirir.","MADDE 11 – (1) Yönetim Kurulunun görevleri şunlardır: ç) Merkeze gelen iş ve proje tekliflerini değerlendirip, önerilerde bulunmak."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür çalışma grupları kurar?","Merkez, ihtiyaç duyulan çalışma grupları ve komisyonları kurar.",MADDE 11 – (1) Yönetim Kurulunun görevleri şunlardır: d) Merkez için gerek duyulan çalışma grupları ve komisyonları kurmak.
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür mali destekleri değerlendirir?","Merkez, araştırıcı ve uygulayıcı elemanların, uzaktan eğitim ile ilgili araştırma, yayın ve bilimsel toplantılara katılmak için yapacakları mali destek isteklerini değerlendirir.","MADDE 11 – (1) Yönetim Kurulunun görevleri şunlardır: c) Araştırıcı ve uygulayıcı elemanların, uzaktan eğitim ile ilgili araştırma, yayın ve bilimsel toplantılara katılmak için yapacakları mali destek isteklerini değerlendirmek."
"Merkez, uzaktan eğitim faaliyetlerinde hangi tür faaliyet raporları hazırlar?","Merkez, yıllık faaliyet raporunu hazırlar ve Rektörlüğe sunar.","MADDE 9 – (1) Müdürün görevleri şunlardır: b) Merkezin çalışma, hedef ve planlarını içeren yıllık faaliyet raporunu hazırlamak, Yönetim Kurulunun görüşü alındıktan sonra Rektörlüğe sunmak."
